,retailer_store_id,store_name,address_line1,address_line2,state,post_code,city,coordinate
0,50,Kahala MKT.,OAHU,"4230 Waialae Avenue, Space C1",HI,96816,Honolulu,"(-157.786059, 21.278863)"
1,1,Foodland Market City,OAHU,2939 Harding Avenue,HI,96816,Honolulu,"(-157.81404, 21.28797)"
2,11,Foodland Farms Ala Moana,OAHU,1450 Ala Moana Boulevard,HI,96814,Honolulu,"(-157.8467, 21.29259)"
3,3,Foodland Farms Aina Haina,OAHU,820 West Hind Drive #101,HI,96821,Honolulu,"(-157.75454, 21.2791)"
4,37,Foodland Kailua,OAHU,108 Hekili Street,HI,96734,Kailua,"(-157.74449, 21.39284)"
5,9,Foodland Farms Pearl City,OAHU,1150 Kuala Street,HI,96782,Pearl City,"(-157.97499, 21.40071)"
6,31,Foodland Waipio,OAHU,94-1040 Waipio Uka Street,HI,96797,Waipahu,"(-157.99841, 21.41227)"
7,19,Foodland Mililani,OAHU,95-221 Kipapa Drive,HI,96789,Mililani,"(-158.01613, 21.45782)"
8,43,Foodland Kapolei,OAHU,4850 Kapolei Parkway,HI,96707,Kapolei,"(-158.07843, 21.32985)"
9,48,Foodland Farms Ka Makana Ali`i,OAHU,91-5431 Kapolei Parkway,HI,96707,Kapolei,"(-158.05405, 21.33358)"
10,27,Foodland Pupukea,OAHU,59-720 Kamehameha Highway,HI,96712,Haleiwa,"(-158.06147, 21.64834)"
11,42,Foodland Farms Lahaina,MAUI,345 Keawe Street,HI,96761,Lahaina,"(-156.68008, 20.88534)"
12,23,Foodland Kihei,MAUI,1881 South Kihei Road,HI,96753,Kihei,"(-156.45175, 20.73307)"
13,39,Foodland Farms Mauna Lani,BIG ISLAND,68-1330 Mauna Lani Drive,HI,96743,Waimea,"(-155.85713, 19.94121)"
